Observation Time,Maximum Category,Path Length (miles),Path Width (yards),Injuries,Fatalities,Monetary Loss,Origin Latitude,Origin Longitude,Track End Latitude,Track End Longitude,Affected Counties
6/12/1989 16:50,F-1,0.2,30,0,0,"$4,000 ",35.42,-78.68,0,0,Harnett County NC
6/16/1989 10:40,F-1,0.1,30,0,0,"$5,000 ",35.53,-79.92,0,0,Randolph County NC
6/16/1989 11:23,F-1,0.5,10,0,0,"$4,000 ",35.7,-79.93,0,0,Randolph County NC
6/16/1989 15:08,F-1,1,10,0,0,"$6,000 ",35.23,-80.23,0,0,Stanly County NC
6/26/1989 14:50,F-1,0.2,30,0,0,"$5,000 ",35.97,-76.25,0,0,Tyrrell County NC
6/28/1989 14:15,F-1,0.1,23,0,0,$0 or unknown,35.8,-79.12,0,0,Chatham County NC
7/16/1989 7:35,F-1,0.1,30,0,0,"$4,000 ",36.02,-78.92,0,0,Durham County NC
9/23/1989 8:30,F-0,1.2,70,0,0,"$4,000 ",34.7,-76.73,0,0,Carteret County NC
1/29/1990 18:50,F-0,0.7,100,0,0,"$4,000 ",36.52,-77.75,0,0,Northampton County NC
2/10/1990 7:00,F-2,0.4,50,0,0,"$5,000 ",35.2,-81.55,0,0,Cleveland County NC
2/10/1990 12:20,F-1,15,70,0,0,"$5,000 ",36.23,-77.75,36.32,-77.62,Halifax County NC
2/10/1990 15:40,F-0,1,50,0,0,$0 or unknown,35.85,-75.67,0,0,Dare County NC
4/10/1990 18:50,F-0,0.2,30,0,0,"$4,000 ",35.25,-81.68,0,0,Cleveland County NC
5/5/1990 12:45,F-1,1,300,0,0,"$3,000 ",34,-78.35,0,0,Brunswick County NC
5/13/1990 12:22,F-0,0.2,30,0,0,"$4,000 ",36.37,-77.17,0,0,Northampton County NC
5/29/1990 2:33,F-1,0.5,50,1,0,$0 or unknown,35.23,-75.63,0,0,Dare County NC
6/29/1990 15:40,F-0,0.1,30,0,0,$0 or unknown,34.75,-77.43,0,0,Onslow County NC
7/1/1990 17:15,F-2,0.2,30,0,0,"$5,000 ",34.52,-78.45,0,0,Bladen County NC
9/15/1990 3:45,F-2,0.5,40,0,0,"$5,000 ",34.7,-76.55,0,0,Carteret County NC
10/18/1990 14:00,F-3,12,100,2,0,"$5,000 ",34.98,-80.68,35.02,-80.45,Union County NC
10/23/1990 1:00,F-0,0.5,73,0,0,"$3,000 ",34.98,-79.13,0,0,Hoke County NC
10/23/1990 1:15,F-1,1.5,100,0,0,"$4,000 ",35.5,-78.82,35.57,-78.78,Harnett County NC; Wake County NC
10/23/1990 6:23,F-1,0.7,100,0,0,"$4,000 ",34.78,-76.85,0,0,Carteret County NC
11/10/1990 3:40,F-2,12,40,1,0,"$5,000 ",35.23,-75.63,35.37,-75.47,Dare County NC
11/28/1990 18:40,F-1,0.1,20,0,0,"$4,000 ",35.23,-80.85,0,0,Mecklenburg County NC
3/2/1991 5:15,F-0,0.2,30,0,0,$0 or unknown,36.45,-76.33,0,0,Camden County NC
3/3/1991 9:24,F-0,0.5,50,0,0,$0 or unknown,34.18,-78.85,0,0,Columbus County NC
3/3/1991 9:47,F-1,1.5,73,3,0,"$5,000 ",34.32,-78.92,0,0,Columbus County NC
3/29/1991 13:45,F-2,28,300,0,0,"$6,000 ",35.63,-80.02,35.85,-79.58,Randolph County NC
3/29/1991 13:50,F-1,2,80,0,0,"$6,000 ",35.37,-80.22,0,0,Stanly County NC
3/29/1991 14:30,F-2,26,300,0,0,"$5,000 ",35.7,-79.47,35.88,-79.05,Chatham County NC; Orange County NC
3/29/1991 14:33,F-1,1,150,2,0,"$5,000 ",35.35,-79.7,35.43,-79.53,Moore County NC
3/29/1991 15:05,F-1,8,80,1,0,"$5,000 ",34.73,-79.55,34.78,-79.45,Scotland County NC
3/29/1991 15:22,F-0,0.5,10,0,0,"$3,000 ",36.5,-77.2,0,0,Northampton County NC
3/29/1991 16:10,F-1,0.5,70,1,0,"$4,000 ",36.17,-77.1,0,0,Bertie County NC
3/29/1991 16:30,F-1,1,80,0,0,"$4,000 ",36.28,-76.77,0,0,Hertford County NC
3/29/1991 16:45,F-1,0.5,200,0,0,"$4,000 ",36.07,-77.38,0,0,Halifax County NC
3/29/1991 18:30,F-1,12,100,33,0,"$6,000 ",35.07,-77.65,35.17,-77.48,Lenoir County NC; Jones County NC
4/16/1991 15:30,F-0,0.5,50,0,0,"$4,000 ",35.18,-83.93,0,0,Cherokee County NC
6/20/1991 18:45,F-0,0.1,10,0,0,$0 or unknown,34.72,-76.85,0,0,Carteret County NC
7/16/1991 10:27,F-0,0.2,10,0,0,$0 or unknown,34.23,-77.87,0,0,New Hanover County NC
8/2/1991 15:10,F-0,0.2,10,0,0,$0 or unknown,34.68,-77.6,0,0,Onslow County NC
8/2/1991 16:15,F-1,0.2,10,1,0,$0 or unknown,34.68,-77.6,0,0,Onslow County NC
8/2/1991 16:31,F-0,0.2,10,0,0,$0 or unknown,34.72,-77.45,0,0,Onslow County NC
8/18/1991 6:01,F-0,0.5,10,0,0,$0 or unknown,34.75,-77.48,0,0,Onslow County NC
8/18/1991 6:30,F-0,0.2,10,0,0,$0 or unknown,34.68,-78.05,0,0,Pender County NC
8/18/1991 18:00,F-1,0.1,20,0,0,"$3,000 ",35.53,-75.48,0,0,Dare County NC
8/20/1991 8:05,F-0,0.2,20,0,0,"$3,000 ",36.17,-76.32,0,0,Perquimans County NC
10/5/1991 11:30,F-0,0.5,20,0,0,"$3,000 ",35.7,-80.93,0,0,Iredell County NC
3/7/1992 14:28,F-0,0.1,80,0,0,"$3,000 ",35.58,-80.97,0,0,Catawba County NC
3/7/1992 14:41,F-1,4.5,150,0,0,"$5,000 ",35.53,-81,35.52,-80.9,Lincoln County NC; Iredell County NC
3/10/1992 19:10,F-0,0.2,30,0,0,"$4,000 ",35.93,-81.28,0,0,Alexander County NC
3/10/1992 20:07,F-2,3.4,180,18,0,"$6,000 ",35.12,-81,35.15,-80.95,Mecklenburg County NC
3/10/1992 20:55,F-1,0.5,30,3,0,"$4,000 ",35.37,-80.57,0,0,Cabarrus County NC
3/19/1992 13:15,F-0,0.2,30,0,0,"$3,000 ",35.58,-80.12,0,0,Davidson County NC
6/4/1992 15:02,F-0,0.2,200,0,0,"$4,000 ",35.25,-81.68,0,0,Cleveland County NC
6/21/1992 10:45,F-0,0.2,200,0,0,$0 or unknown,35.47,-76.42,0,0,Hyde County NC
7/6/1992 8:30,F-0,0.2,20,0,0,$0 or unknown,35.95,-75.62,0,0,Dare County NC
7/12/1992 14:30,F-0,0.2,20,0,0,"$3,000 ",36.22,-76.17,0,0,Pasquotank County NC
7/18/1992 14:45,F-0,0.2,20,0,0,"$3,000 ",36.22,-76.17,0,0,Pasquotank County NC
8/15/1992 5:10,F-1,0.7,70,0,0,$0 or unknown,36.4,-75.95,0,0,Currituck County NC
8/15/1992 5:20,F-0,0.5,30,0,0,$0 or unknown,36.55,-75.9,0,0,Currituck County NC
11/4/1992 13:00,F-0,0.1,10,0,0,$0 or unknown,35.85,-76.32,0,0,Tyrrell County NC
11/4/1992 14:15,F-0,0.2,10,0,0,$0 or unknown,34.85,-78.9,0,0,Cumberland County NC
11/4/1992 14:25,F-1,0.4,20,0,0,"$3,000 ",35.6,-78.28,0,0,Johnston County NC
11/4/1992 15:15,F-0,0.4,20,0,0,"$2,000 ",34.97,-79.45,0,0,Scotland County NC
11/4/1992 15:38,F-0,0.2,10,0,0,$0 or unknown,35.17,-79,0,0,Cumberland County NC
11/4/1992 16:49,F-0,0.2,10,0,0,$0 or unknown,35.17,-78.77,0,0,Cumberland County NC
11/4/1992 16:55,F-1,0.3,20,0,0,"$3,000 ",35.3,-78.68,0,0,Harnett County NC
11/4/1992 17:15,F-1,0.3,20,0,0,$0 or unknown,35.33,-78.35,0,0,Johnston County NC
11/4/1992 17:30,F-1,1.5,100,0,0,"$5,000 ",36.3,-77.05,0,0,Hertford County NC
11/4/1992 18:00,F-0,0.2,10,0,0,$0 or unknown,35.35,-77.98,0,0,Wayne County NC
11/4/1992 18:15,F-1,2,30,0,0,"$5,000 ",35.38,-78,0,0,Wayne County NC
11/22/1992 20:15,F-1,5,500,0,0,"$4,000 ",35.43,-81.58,35.52,-81.52,Cleveland County NC
11/22/1992 20:40,F-1,26,800,0,0,"$5,000 ",35.7,-81.12,35.93,-80.78,Catawba County NC; Iredell County NC
11/22/1992 21:20,F-1,31,800,13,0,"$5,000 ",36.07,-80.63,36.35,-80.22,Yadkin County NC; Forsyth County NC; Stokes County NC
11/23/1992 0:20,F-3,5.5,1200,10,2,"$5,000 ",36.08,-79.18,36.12,-79.07,Orange County NC
11/23/1992 2:10,F-3,160,100,44,0,"$6,000 ",35.47,-78.68,36.33,-76.23,Harnett County NC; Johnston County NC; Wilson County NC; Edgecombe County NC
3/27/1993 14:05,F-0,0.5,30,0,0,$0 or unknown,35.72,-78.77,0,0,Wake County NC
4/16/1993 7:00,F-0,0.2,10,0,0,"$5,000 ",36.52,-78.4,0,0,Vance County NC
5/19/1993 12:50,F-0,0.7,30,0,0,"$4,000 ",35.88,-75.65,0,0,Dare County NC
5/19/1993 13:10,F-0,0.2,10,0,0,$0 or unknown,35.57,-82.57,0,0,Buncombe County NC
6/4/1993 15:45,F-0,0.2,20,0,0,"$3,000 ",36.43,-78.4,0,0,Vance County NC
6/4/1993 17:00,F-1,5,30,0,0,"$5,000 ",35.9,-77.5,35.9,-77.38,Edgecombe County NC
6/4/1993 17:05,F-0,0.5,20,0,0,$0 or unknown,36.12,-77.18,0,0,Bertie County NC
7/20/1993 14:33,F-0,0.2,10,0,0,$0 or unknown,34.78,-76.82,0,0,Carteret County NC
8/2/1993 14:15,F-1,2.5,30,0,0,"$3,000 ",35.37,-77.47,0,0,Lenoir County NC
8/6/1993 1:30,F-1,1,30,0,0,"$5,000 ",35.3,-78.17,0,0,Wayne County NC
8/6/1993 12:00,F-1,0.5,20,0,0,"$4,000 ",35.6,-76.5,0,0,Hyde County NC
8/6/1993 12:10,F-1,0.7,30,0,0,"$5,000 ",35.42,-76.33,0,0,Hyde County NC
8/6/1993 12:45,F-0,0.2,20,0,0,"$3,000 ",35.5,-76,0,0,Hyde County NC
8/6/1993 13:30,F-1,0.5,10,0,0,"$4,000 ",35.58,-76.67,0,0,Beaufort County NC
9/27/1993 19:20,F-1,2,20,0,0,"$6,000 ",34.73,-76.73,0,0,Carteret County NC
1/28/1994 7:55,F-0,0.1,10,0,0,$0 or unknown,36.17,-79.17,0,0,Orange County NC
3/27/1994 15:17,F-2,20.5,100,13,0,"$6,000 ",35.18,-81.72,35.4,-81.23,Cleveland County NC; Gaston County NC
3/27/1994 17:30,F-3,18,200,1,0,"$5,000 ",35.18,-81,35.23,-80.77,Gaston County NC; Mecklenburg County NC
3/27/1994 17:40,F-0,0.1,10,0,0,"$6,000 ",35.88,-79.43,0,0,Alamance County NC
3/27/1994 18:00,F-0,0.1,10,0,0,"$5,000 ",35.67,-79.78,0,0,Randolph County NC
3/28/1994 12:15,F-0,0.5,30,0,0,"$3,000 ",34.48,-78.65,0,0,Bladen County NC
3/28/1994 14:00,F-0,4,30,0,0,"$4,000 ",34.77,-78.1,34.73,-78.02,Duplin County NC
5/1/1994 16:00,F-0,0.2,50,0,0,"$3,000 ",35.32,-78.62,0,0,Harnett County NC
6/20/1994 11:30,F-0,0.5,200,0,0,$0 or unknown,36.48,-77.67,0,0,Halifax County NC
6/24/1994 15:50,F-1,4,40,0,0,"$4,000 ",35.42,-78.68,35.47,-78.63,Harnett County NC
6/27/1994 7:08,F-1,0.5,23,0,0,"$5,000 ",35.97,-76.28,0,0,Tyrrell County NC
6/27/1994 8:47,F-1,1,50,0,0,"$5,000 ",35.92,-76.28,0,0,Tyrrell County NC
6/27/1994 11:48,F-1,0.5,100,0,0,"$5,000 ",34.88,-76.98,0,0,Craven County NC
