STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW
US1NCML0011,"SPRUCE PINE 3.7 ESE, NC US",35.88905,-82.012514,833.9,2021-02,,,,,0.82,4.22,
US1NCRB0017,"LUMBERTON 8.6 SSE, NC US",34.512735,-78.975122,33.5,2021-02,,,,,2.94,8.88,
US1NCML0014,"SPRUCE PINE 4.5 WSW, NC US",35.900646,-82.147713,782.4,2021-02,,,,,0.65,3.43,
US1NCBF0034,"CHOCOWINITY 0.2 W, NC US",35.514085,-77.102408,10.4,2021-02,,,,,2.01,9.15,
US1NCBF0031,"BATH 4.1 NNW, NC US",35.5197,-76.8445,5.2,2021-02,,,,,1.16,6.85,
US1NCAG0001,"SPARTA 3.5 SSW, NC US",36.458975,-81.152517,946.1,2021-02,,1,,2.5,,,2.5
US1NCBF0029,"WASHINGTON 1.0 SSW, NC US",35.5428,-77.0587,1.2,2021-02,,,,,1.8,9.61,
US1NCCR0020,"HARKERS ISLAND 3.2 NE, NC US",34.7315,-76.51765,2.1,2021-02,,,,,2.63,11.22,
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",34.2675,-77.8997,10.1,2021-02,0,0,0,0,1.25,6.04,0
US1NCCR0028,"OCEAN 0.5 S, NC US",34.7056,-76.9898,7,2021-02,0,0,0,0,1.66,5.57,0
US1NCHW0064,"WAYNESVILLE 0.3 NE, NC US",35.488329,-82.993961,,2021-02,,,,,1.18,5.25,
USC00315177,"LUMBERTON, NC US",34.6269,-79.025,34.1,2021-02,,,,,2.1,5.59,
US1NCFK0010,"WAKE FOREST 3.5 NNW, NC US",36.019193,-78.535489,121.3,2021-02,,,,,1.06,8.22,
US1NCFK0011,"ZEBULON 5.3 N, NC US",35.90126,-78.310288,88.1,2021-02,,,,,,5.98,
US1NCAG0007,"SPARTA 3.6 NW, NC US",36.54386,-81.16327,819.6,2021-02,,,,,0.52,3.64,
USW00013754,"HAVELOCK CHERRY POINT MCAS, NC US",34.9,-76.88333,8.8,2021-02,,,,,1.3,6.11,
US1NCBF0020,"WASHINGTON 7.2 SE, NC US",35.49076,-76.951221,1.8,2021-02,,,,,1.62,7.87,
USC00311817,"CLAYTON 3 E, NC US",35.63495,-78.39793,101.2,2021-02,,,,,1.34,8,
USC00310724,"BENT CREEK, NC US",35.5044,-82.5966,643.1,2021-02,,0,,0,,,0
USW00003758,"DURHAM 11 W, NC US",35.9705,-79.0931,171.3,2021-02,,,,,0.95,6.13,
